"chuzzlewit::remarkable";"fawkes::remarkable"
"martin::embarrassed";"tom::embarrassed"
"martin::embarrassed";"tom::little"
"martin::little";"tom::embarrassed"
"tom::embarrassed";"tom::little"
"mark::#-wise";"tom::#-wise"
"tom::good";"tom::kind"
"john_westlock::hard";"lewsome::hard"
"john_westlock::glad";"martin::glad"
"john::short";"martin::short"
"john_westlock::great";"jonas::great"
"john_westlock::great";"tom_pinch::great"
"jonas::great";"tom_pinch::great"
"tom::cruel";"tom::innocent"
"john_westlock::good";"john_westlock::professional"
"john_westlock::good";"mrs_gamp::good"
"john_westlock::good";"mrs_gamp::professional"
"john_westlock::professional";"mrs_gamp::good"
"john_westlock::professional";"mrs_gamp::professional"
"mrs_gamp::good";"mrs_gamp::professional"
"john_westlock::determined";"john_westlock::private"
"john_westlock::determined";"john_westlock::professional"
"john_westlock::determined";"martin::determined"
"john_westlock::determined";"martin::private"
"john_westlock::determined";"martin::professional"
"john_westlock::determined";"mrs_gamp::determined"
"john_westlock::determined";"mrs_gamp::private"
"john_westlock::determined";"mrs_gamp::professional"
"john_westlock::private";"john_westlock::professional"
"john_westlock::private";"martin::determined"
"john_westlock::private";"martin::private"
"john_westlock::private";"martin::professional"
"john_westlock::private";"mrs_gamp::determined"
"john_westlock::private";"mrs_gamp::private"
"john_westlock::private";"mrs_gamp::professional"
"john_westlock::professional";"martin::determined"
"john_westlock::professional";"martin::private"
"john_westlock::professional";"martin::professional"
"john_westlock::professional";"mrs_gamp::determined"
"john_westlock::professional";"mrs_gamp::private"
"martin::determined";"martin::private"
"martin::determined";"martin::professional"
"martin::determined";"mrs_gamp::determined"
"martin::determined";"mrs_gamp::private"
"martin::determined";"mrs_gamp::professional"
"martin::private";"martin::professional"
"martin::private";"mrs_gamp::determined"
"martin::private";"mrs_gamp::private"
"martin::private";"mrs_gamp::professional"
"martin::professional";"mrs_gamp::determined"
"martin::professional";"mrs_gamp::private"
"martin::professional";"mrs_gamp::professional"
"mrs_gamp::determined";"mrs_gamp::private"
"mrs_gamp::determined";"mrs_gamp::professional"
"mrs_gamp::private";"mrs_gamp::professional"
"john_westlock::alone";"martin::alone"
"mark::pleased";"mark::selfish"
"mark::pleased";"mark::thinking"
"mark::selfish";"mark::thinking"
"bardlemy::familiar";"barklemy::familiar"
"bardlemy::familiar";"bartholomew::familiar"
"bardlemy::familiar";"bartlemy::familiar"
"bardlemy::familiar";"betsey_prig::familiar"
"bardlemy::familiar";"mrs_prig::familiar"
"barklemy::familiar";"bartholomew::familiar"
"barklemy::familiar";"bartlemy::familiar"
"barklemy::familiar";"betsey_prig::familiar"
"barklemy::familiar";"mrs_prig::familiar"
"bartholomew::familiar";"bartlemy::familiar"
"bartholomew::familiar";"betsey_prig::familiar"
"bartholomew::familiar";"mrs_prig::familiar"
"bartlemy::familiar";"betsey_prig::familiar"
"bartlemy::familiar";"mrs_prig::familiar"
"betsey_prig::familiar";"mrs_prig::familiar"
"bartholomew::little";"bartholomew::patient"
"mrs_gamp::young";"wilkins::young"
"bailey::poor";"mrs_gamp::poor"
"bailey::poor";"bailey::young"
"bailey::poor";"montague::poor"
"bailey::poor";"montague::young"
"bailey::young";"montague::poor"
"bailey::young";"montague::young"
"montague::poor";"montague::young"
"betsey::worthy";"mrs_gamp::worthy"
"betsey::glad";"mrs_gamp::glad"
"betsey_prig::glad";"betsey_prig::innocent"
"betsey_prig::glad";"betsey::glad"
"betsey_prig::glad";"betsey::innocent"
"betsey_prig::glad";"mrs_harris::glad"
"betsey_prig::glad";"mrs_harris::innocent"
"betsey_prig::innocent";"betsey::glad"
"betsey_prig::innocent";"betsey::innocent"
"betsey_prig::innocent";"mrs_harris::glad"
"betsey_prig::innocent";"mrs_harris::innocent"
"betsey::glad";"betsey::innocent"
"betsey::glad";"mrs_harris::glad"
"betsey::glad";"mrs_harris::innocent"
"betsey::innocent";"mrs_harris::glad"
"betsey::innocent";"mrs_harris::innocent"
"mrs_harris::glad";"mrs_harris::innocent"
"betsey::expressive";"gamp::expressive"
"betsey::expressive";"mrs_prig::expressive"
"gamp::expressive";"mrs_prig::expressive"
"sarah_gamp::certain";"sarah_gamp::intelligent"
"sarah_gamp::certain";"sarah_gamp::offensive"
"sarah_gamp::intelligent";"sarah_gamp::offensive"
"betsey::weak";"chuffey::weak"
"betsey::weak";"mrs_gamp::weak"
"chuffey::weak";"mrs_gamp::weak"
"mrs_gamp::great";"mrs_gamp::sweet"
"mrs_gamp::great";"mrs_harris::great"
"mrs_gamp::great";"mrs_harris::sweet"
"mrs_gamp::sweet";"mrs_harris::great"
"mrs_gamp::sweet";"mrs_harris::sweet"
"mrs_harris::great";"mrs_harris::sweet"
"betsey::violent";"mrs_gamp::violent"
"betsey::little";"mrs_gamp::little"
"gammy::little";"mr_westlock::little"
"gammy::little";"timmy_harris::little"
"gammy::little";"westlock::little"
"mr_westlock::little";"timmy_harris::little"
"mr_westlock::little";"westlock::little"
"timmy_harris::little";"westlock::little"
"betsey_prig::kind";"john::kind"
"betsey_prig::kind";"sairey::kind"
"john::kind";"sairey::kind"
"mrs_gamp::short";"westlock::short"
"mrs_gamp::poor";"mrs_gamp::sweet"
"john_westlock::young";"martin::young"
"john::old";"mrs_harris::old"
"martin::open";"tom::open"
"martin::surprised";"tom::surprised"
"martin::bad";"tom::bad"
"tom::forward";"tom::trusted"
"martin::serious";"tom::serious"
"tom::little";"tom::natural"
"tom::little";"tom::short"
"john::good";"martin::good"
"bullamy::firm";"pecksniff::firm"
"bullamy::controlling";"pecksniff::controlling"
"jonas::impatient";"jonas::old"
"mrs_gamp::encouraging";"mrs_gamp::old"
"chuffey::good";"chuffey::old"
"chuffey::good";"mrs_gamp::good"
"jonas::good";"mrs_gamp::good"
"jonas::trusted";"mrs_gamp::trusted"
"jonas::terrible";"lewsome::terrible"
"jonas::old";"lewsome::old"
"jonas::agreeable";"mark::agreeable"
"chuzzlewit::well";"martin::well"
"chuffey::little";"chuffey::old"
"chuffey::little";"jonas::old"
"chuffey::little";"mrs_gamp::old"
"chuffey::old";"jonas::little"
"chuffey::old";"mrs_gamp::little"
"jonas::little";"jonas::old"
"jonas::little";"mrs_gamp::little"
"jonas::little";"mrs_gamp::old"
"jonas::old";"mrs_gamp::little"
"mrs_gamp::little";"mrs_gamp::old"
"chuffey::old";"chuffey::strong"
"chuffey::old";"jonas::strong"
"chuffey::old";"mrs_gamp::strong"
"chuffey::strong";"jonas::old"
"chuffey::strong";"jonas::strong"
"chuffey::strong";"mrs_gamp::old"
"chuffey::strong";"mrs_gamp::strong"
"jonas::old";"jonas::strong"
"jonas::old";"mrs_gamp::strong"
"jonas::strong";"mrs_gamp::old"
"jonas::strong";"mrs_gamp::strong"
"mrs_gamp::old";"mrs_gamp::strong"
"chuffey::mean";"chuffey::poor"
"chuffey::mean";"jonas::mean"
"chuffey::mean";"jonas::poor"
"chuffey::poor";"jonas::mean"
"chuffey::poor";"jonas::poor"
"jonas::mean";"jonas::poor"
"mr_chuzzlewit::curious";"mr_chuzzlewit::old"
"gamp::kind";"mould::kind"
"gamp::kind";"mrs_gamp::kind"
"mould::kind";"mrs_gamp::kind"
"john_westlock::cruel";"jonas::cruel"
"john_westlock::cruel";"nadgett::cruel"
"john_westlock::cruel";"tom_pinch::cruel"
"jonas::cruel";"nadgett::cruel"
"jonas::cruel";"tom_pinch::cruel"
"nadgett::cruel";"tom_pinch::cruel"
"pecksniff::good";"pecksniff::tolerant"
"pecksniff::old";"pecksniff::tolerant"
"john::lively";"tapley::lively"
"chuzzlewit::employed";"chuzzlewit::little"
"chuzzlewit::employed";"jonas::employed"
"chuzzlewit::employed";"jonas::little"
"chuzzlewit::employed";"ruth::employed"
"chuzzlewit::employed";"ruth::little"
"chuzzlewit::employed";"tom::employed"
"chuzzlewit::employed";"tom::little"
"chuzzlewit::little";"jonas::employed"
"chuzzlewit::little";"jonas::little"
"chuzzlewit::little";"ruth::employed"
"chuzzlewit::little";"ruth::little"
"chuzzlewit::little";"tom::employed"
"chuzzlewit::little";"tom::little"
"jonas::employed";"jonas::little"
"jonas::employed";"ruth::employed"
"jonas::employed";"ruth::little"
"jonas::employed";"tom::employed"
"jonas::employed";"tom::little"
"jonas::little";"ruth::employed"
"jonas::little";"ruth::little"
"jonas::little";"tom::employed"
"ruth::employed";"ruth::little"
"ruth::employed";"tom::employed"
"ruth::employed";"tom::little"
"ruth::little";"tom::employed"
"tom::employed";"tom::little"
"tapley::cheerful";"tapley::clean"
"mark::mean";"tapley::mean"
"chuzzlewit::difficult";"chuzzlewit::good"
"chuzzlewit::difficult";"chuzzlewit::great"
"chuzzlewit::difficult";"chuzzlewit::natural"
"chuzzlewit::difficult";"chuzzlewit::old"
"chuzzlewit::difficult";"tapley::difficult"
"chuzzlewit::difficult";"tapley::good"
"chuzzlewit::difficult";"tapley::great"
"chuzzlewit::difficult";"tapley::natural"
"chuzzlewit::difficult";"tapley::old"
"chuzzlewit::good";"chuzzlewit::natural"
"chuzzlewit::good";"chuzzlewit::old"
"chuzzlewit::good";"tapley::difficult"
"chuzzlewit::good";"tapley::good"
"chuzzlewit::good";"tapley::great"
"chuzzlewit::good";"tapley::natural"
"chuzzlewit::good";"tapley::old"
"chuzzlewit::great";"chuzzlewit::natural"
"chuzzlewit::great";"chuzzlewit::old"
"chuzzlewit::great";"tapley::difficult"
"chuzzlewit::great";"tapley::good"
"chuzzlewit::great";"tapley::great"
"chuzzlewit::great";"tapley::natural"
"chuzzlewit::great";"tapley::old"
"chuzzlewit::natural";"chuzzlewit::old"
"chuzzlewit::natural";"tapley::difficult"
"chuzzlewit::natural";"tapley::good"
"chuzzlewit::natural";"tapley::great"
"chuzzlewit::natural";"tapley::natural"
"chuzzlewit::natural";"tapley::old"
"chuzzlewit::old";"tapley::difficult"
"chuzzlewit::old";"tapley::good"
"chuzzlewit::old";"tapley::great"
"chuzzlewit::old";"tapley::natural"
"chuzzlewit::old";"tapley::old"
"tapley::difficult";"tapley::good"
"tapley::difficult";"tapley::great"
"tapley::difficult";"tapley::natural"
"tapley::difficult";"tapley::old"
"tapley::good";"tapley::great"
"tapley::good";"tapley::natural"
"tapley::great";"tapley::natural"
"tapley::great";"tapley::old"
"tapley::natural";"tapley::old"
"martin_chuzzlewit::extraordinary";"martin_chuzzlewit::interested"
"martin_chuzzlewit::extraordinary";"tapley::extraordinary"
"martin_chuzzlewit::extraordinary";"tapley::interested"
"martin_chuzzlewit::interested";"tapley::extraordinary"
"martin_chuzzlewit::interested";"tapley::interested"
"tapley::extraordinary";"tapley::interested"
"chuzzlewit::young";"martin::young"
"graham::glad";"mrs_lupin::glad"
"mary::old";"tom_pinch::old"
"pecksniff::appealing";"pecksniff::old"
"mr_chuzzlewit::good";"mr_chuzzlewit::young"
"martin::employed";"martin::well"
"john::little";"john::old"
"john::little";"mark::little"
"john::little";"mark::old"
"john::little";"martin::little"
"john::little";"martin::old"
"john::little";"mary::little"
"john::little";"mary::old"
"john::little";"mrs_lupin::little"
"john::little";"mrs_lupin::old"
"john::little";"ruth::old"
"john::old";"mark::little"
"john::old";"mark::old"
"john::old";"martin::little"
"john::old";"martin::old"
"john::old";"mary::little"
"john::old";"mary::old"
"john::old";"mrs_lupin::little"
"john::old";"mrs_lupin::old"
"john::old";"ruth::little"
"john::old";"ruth::old"
"mark::little";"martin::old"
"mark::little";"mary::little"
"mark::little";"mary::old"
"mark::little";"mrs_lupin::little"
"mark::little";"mrs_lupin::old"
"mark::little";"ruth::little"
"mark::little";"ruth::old"
"mark::old";"martin::little"
"mark::old";"mary::little"
"mark::old";"mary::old"
"mark::old";"mrs_lupin::little"
"mark::old";"mrs_lupin::old"
"mark::old";"ruth::little"
"mark::old";"ruth::old"
"martin::little";"mary::little"
"martin::little";"mary::old"
"martin::little";"mrs_lupin::little"
"martin::little";"mrs_lupin::old"
"martin::little";"ruth::little"
"martin::little";"ruth::old"
"martin::old";"mary::little"
"martin::old";"mrs_lupin::little"
"martin::old";"ruth::little"
"martin::old";"ruth::old"
"mary::little";"mary::old"
"mary::little";"mrs_lupin::little"
"mary::little";"mrs_lupin::old"
"mary::little";"ruth::little"
"mary::little";"ruth::old"
"mary::old";"mrs_lupin::little"
"mary::old";"mrs_lupin::old"
"mary::old";"ruth::little"
"mary::old";"ruth::old"
"mrs_lupin::little";"mrs_lupin::old"
"mrs_lupin::little";"ruth::little"
"mrs_lupin::little";"ruth::old"
"mrs_lupin::old";"ruth::little"
"mrs_lupin::old";"ruth::old"
"ruth::little";"ruth::old"
"martin::natural";"pecksniff::natural"
"martin::good";"martin::pretty"
"pecksniff::familiar";"pecksniff::old"
"mr_sweedlepipes::laughing";"mrs_gamp::laughing"
"mrs_gamp::young";"sweedlepipe::young"
"chuzzlewit::sweet";"permittin::sweet"
"mark_tapley::good";"mark_tapley::liberal"
"chuzzlewit::old";"mrs_gamp::old"
"bailey::poor";"sweedlepipe::poor"
"mrs_gamp::poor";"sweedlepipe::poor"
"ruth::little";"ruth::pleasant"
"john::hard";"westlock::hard"
"tom::happy";"tom::old"
"tom::happy";"tom::thinking"
"tom::old";"tom::thinking"
"john::glad";"tom::glad"
"john::anxious";"john::laughing"
"john::anxious";"john::practical"
"john::anxious";"john::pretty"
"john::laughing";"john::practical"
"john::laughing";"john::pretty"
"john::practical";"john::pretty"
"mr_westlock::great";"mr_westlock::old"
"mr_westlock::great";"ruth::great"
"mr_westlock::great";"ruth::old"
"mr_westlock::old";"ruth::great"
"mr_westlock::old";"ruth::old"
"ruth::great";"ruth::old"
"john::bashful";"john::confused"
"john::bashful";"john::hard"
"john::bashful";"john::little"
"john::bashful";"john::terrible"
"john::confused";"john::hard"
"john::confused";"john::little"
"john::confused";"john::terrible"
"john::hard";"john::little"
"john::hard";"john::terrible"
"trump::pretty";"trump::short"
"tom::bright";"tom::little"
"pecksniff::harmless";"pecksniff::innocent"
"george_chuzzlewit::gracious";"george_chuzzlewit::young"
"george_chuzzlewit::gracious";"mrs_spottletoe::gracious"
"george_chuzzlewit::gracious";"mrs_spottletoe::young"
"george_chuzzlewit::gracious";"pecksniff::gracious"
"george_chuzzlewit::gracious";"pecksniff::young"
"george_chuzzlewit::young";"mrs_spottletoe::gracious"
"george_chuzzlewit::young";"mrs_spottletoe::young"
"george_chuzzlewit::young";"pecksniff::gracious"
"george_chuzzlewit::young";"pecksniff::young"
"mrs_spottletoe::gracious";"mrs_spottletoe::young"
"mrs_spottletoe::gracious";"pecksniff::gracious"
"mrs_spottletoe::gracious";"pecksniff::young"
"mrs_spottletoe::young";"pecksniff::gracious"
"mrs_spottletoe::young";"pecksniff::young"
"pecksniff::gracious";"pecksniff::young"
"mrs_todgers::little";"mrs_todgers::poor"
"chuzzlewit::little";"chuzzlewit::well"
"samaritan::good";"samaritan::hard"
"mark::excited";"mark::strange"
"chuzzlewit::open";"tapley::open"
"mrs_spottletoe::young";"mrs_todgers::young"
"jinkins::encouraging";"spottletoe::encouraging"
"augustus::awful";"pecksniff::awful"
"spottletoe::afraid";"spottletoe::great"
"tom::calm";"tom::happy"
"tom::bright";"tom::joyful"
"tom::bright";"tom::young"
"tom::joyful";"tom::little"
"tom::joyful";"tom::young"
"ruth::thoughtful";"tom::thoughtful"
"ruth::little";"tom::old"
"ruth::old";"tom::little"
