"abrupt" "active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bashful" "benevolent" "bitter" "bold" "boyish" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "cold" "compassionate" "complacent" "conciliatory" "confident" "confused" "considerate" "constant" "contrary" "cool" "cordial" "cruel" "curious" "deep" "demonstrative" "determined" "distant" "dreamy" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "firm" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "girlish" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "impetuous" "indifferent" "inexperienced" "ingenious" "intimate" "jealous" "kind" "lazy" "lively" "loud" "loving" "masculine" "meek" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "pliant" "polished" "polite" "practical" "profound" "proper" "prophetic" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "rebellious" "reliant" "religious" "reproachful" "respectful" "restless" "rigid" "rough" "rude" "rugged" "selfish" "sensitive" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "solemn" "spirited" "stable" "steady" "stern" "stormy" "strict" "submissive" "sullen" "sunny" "suspicious" "systematic" "tender" "thoughtful" "thoughtless" "tight" "timid" "unaffected" "undisciplined" "unreasonable" "vague" "vain" "violent" "warm" "wild" "vigorous" "wise" "worldly"
"prophetic" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0
"proud" 0 0 0 1 2 1 1 1 1 0 0 0 1 1 9 0 5 2 0 0 0 7 2 4 1 2 3 1 1 1 1 0 0 1 0 0 1 2 2 3 1 0 4 0 3 1 4 0 0 1 0 2 0 0 0 2 2 3 0 3 2 3 0 1 0 0 1 0 1 4 2 2 2 3 1 0 0 2 0 1 1 2 2 0 1 1 0 0 1 0 2 0 0 0 4 0 0 2 0 8 1 2 0 1 1 3 0 0 2 1 2 0 1 0 0 0 1 9 0 1 1 0 0 0 2 2 4 0 1 3 0 0 0 1 1 2 3 2 3 2 1 1 2 1 1 0 1 0 1 2 1 0 0 1 1 1 0 2 0 0 3 1 1 3 0 2 2
"prudent" 0 0 0 1 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"punctual" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0
"quick" 2 1 0 1 2 0 2 0 2 2 0 3 1 0 5 0 1 0 1 0 1 5 1 1 0 1 0 1 0 0 1 1 1 1 0 0 3 1 2 3 0 2 2 0 2 2 3 0 1 1 0 0 2 0 0 1 0 4 1 0 3 6 0 0 0 2 0 0 1 0 0 0 1 1 1 2 1 0 0 1 0 1 0 1 0 0 0 2 0 0 1 3 1 2 6 1 0 0 0 2 1 0 1 0 1 5 0 0 1 1 1 0 0 1 0 1 0 4 0 1 1 0 0 2 0 0 0 1 0 0 0 1 3 0 1 2 2 0 1 0 0 1 1 1 0 0 0 0 0 2 0 0 4 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"quiet" 2 3 4 9 7 4 4 2 2 0 1 10 4 0 15 0 8 2 1 3 0 14 11 5 2 4 7 1 1 0 2 0 1 2 1 1 3 7 3 5 0 2 9 0 6 0 6 1 0 4 0 2 2 2 0 7 2 4 1 2 2 11 0 4 0 1 0 1 0 0 3 1 1 2 2 0 5 4 0 2 1 8 1 3 1 2 1 1 2 3 2 3 0 2 11 3 3 5 4 11 2 3 0 1 4 12 2 1 0 1 1 1 1 9 1 2 4 0 2 1 2 1 3 1 3 1 5 0 1 4 1 3 5 2 1 11 4 0 3 2 2 1 2 3 4 1 0 0 2 2 0 2 5 1 1 6 1 3 2 2 8 1 2 8 0 3 2
"reasonable" 0 0 0 2 2 0 0 0 0 0 1 1 0 0 2 0 1 0 1 1 0 0 2 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 1 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"rebellious" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"reliant" 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0
"religious" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"reproachful" 0 0 1 2 2 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 1 5 0 0 1 2 2 0 0 0 1 0 0 1 2 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 1 1 0 0 3 0 2 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 0 1 1 0 0 0 0 0
"respectful" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 3 1 3 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 3 1 1 0 1 0 1 0 0 0 0 2 0 0 0 1 1 1 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0
"restless" 0 0 0 3 2 0 1 0 0 0 0 1 0 0 3 2 1 0 0 0 0 1 0 2 0 1 1 1 0 0 1 0 0 1 0 0 0 2 1 3 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 1 1 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 3 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 1 0 1 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1
"rigid" 0 0 0 0 2 0 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"rough" 0 0 0 2 0 0 1 0 0 0 0 5 0 1 6 0 2 0 0 0 1 3 1 3 1 2 4 0 0 0 0 1 0 3 0 0 0 0 3 2 0 0 1 0 1 1 3 0 3 1 1 1 0 0 0 3 0 3 0 2 0 4 0 1 0 0 0 1 0 3 3 0 2 0 1 0 1 0 1 1 0 8 2 0 0 5 0 0 0 1 0 0 0 0 3 1 0 0 0 2 1 2 0 0 0 4 0 0 2 1 1 0 0 4 0 0 0 5 0 1 0 1 0 0 2 0 0 1 0 0 1 0 1 0 3 6 2 0 1 4 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 3 1 0 0 1 1 0 1 7 0 1 1
"rude" 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"rugged" 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
"selfish" 0 0 1 1 4 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 3 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 2 1 1 0 0 2 0 0 1 2 0 0 0 1 0 0 0 0 0 0 2 2 0 1 0 0 2 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 2 0 1 0 0 0 4 0 0 0 0 1 1 0 3 0 0 0 4 0 0 0 1 1 0 2 1 0 0 0 0 0 0 1 1 0 1 2 1 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 2 0 0 0 0 1 2
"sensitive" 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 3 1 0 1 4 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 3 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 2 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0
"serene" 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2 0 1 0 0 0 0 2 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"serious" 0 0 0 5 4 0 3 0 0 1 1 2 1 0 9 0 1 1 1 1 0 5 3 3 0 1 1 0 0 0 1 2 3 1 1 0 1 4 0 2 0 0 0 1 0 0 3 1 0 3 2 0 1 1 1 5 0 1 0 0 0 4 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 3 0 1 1 5 1 1 0 1 1 0 0 1 0 3 1 1 5 1 0 0 0 4 2 1 1 0 1 4 1 0 0 4 1 0 0 0 1 0 3 5 3 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 0 2 0 1 1 2 1 0 0 1 0 0 0 1 3 1 1 0 1 0 0 0 1 0 1 2 3 0 1 2
"severe" 0 0 0 2 1 1 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 4 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 2 0 2 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 2 0 1 1 0 0 0 1
"shy" 0 1 1 1 1 0 1 0 1 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 1 1 2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0
"silent" 1 1 1 5 3 5 4 0 1 0 1 1 2 0 5 2 4 2 0 5 1 6 6 3 0 4 5 0 0 1 0 1 0 0 1 1 2 8 4 3 0 0 3 0 5 2 3 1 3 1 1 2 1 0 3 5 0 2 1 1 0 6 0 2 0 1 1 1 1 2 5 0 0 0 0 0 0 1 1 0 0 10 2 1 0 1 0 1 0 1 2 4 0 1 8 1 1 2 2 2 1 2 0 0 1 8 0 0 4 0 3 1 0 2 1 0 2 11 1 0 0 0 0 2 1 1 6 0 0 1 1 2 1 1 0 0 2 0 3 2 0 0 0 2 2 0 2 1 0 0 0 2 3 0 0 0 0 0 3 1 3 2 0 6 0 2 1
"simple" 1 0 0 0 0 2 2 0 0 0 0 2 1 1 5 0 0 0 0 0 0 6 5 1 0 2 0 0 1 0 0 1 0 2 0 0 1 0 1 0 0 0 1 0 0 0 3 1 0 2 0 0 0 1 0 1 0 3 0 1 0 2 0 1 0 1 0 0 0 0 1 2 0 1 1 0 1 1 1 2 0 2 0 0 0 1 0 0 0 2 4 0 0 1 8 0 1 0 1 2 0 0 0 0 0 4 0 0 1 0 2 1 0 3 0 0 2 4 0 1 0 0 0 0 0 0 2 0 0 2 0 1 1 1 1 2 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 2 0 2 0 1 1 0 0 0 0 0 0 0 2 3
"sincere" 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"slow" 0 1 1 2 2 0 1 0 1 1 0 0 1 1 4 0 2 1 1 0 0 5 1 2 0 1 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 1 2 1 2 0 3 0 2 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 1 1 5 0 1 1 0 0 0 0 0 0 0 2 2 0 1 0 0 1 1 0 2 0 0 0 5 0 0 1 0 2 0 0 0 0 1 2 0 1 1 0 0 0 0 3 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 2 0 3 0 0 0 1 0 0 1 3 0 0 2 0 0 0 0 1 1 0 0 3 0 1 0 1 1 1 1 0 0 0 0
"solemn" 0 0 0 1 1 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 3 2 2 0 1 2 1 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 3 1 1 0 0 0 1 0 1 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 4 2 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 2 0 0 0 1 1 1 2 0 4 0 0 2 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 1 0 0 0
"spirited" 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1
"stable" 1 0 0 0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 2 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"steady" 0 0 0 1 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 3 2 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 2 2 1 0 1 0 4 1 1 0 0 1 1 0 3 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 2 0 1 0 1 3 0 0 1 0 1 0 0 0 1 1 0 1 2 1 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 1 2 1 0 2 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 2 0 0 2
"stern" 0 0 0 1 2 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 3 2 0 1 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 3 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 2 0 0 3 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"stormy" 0 0 0 1 0 0 0 0 0 0 0 2 0 0 4 1 1 1 0 1 0 1 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0 4 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0
"strict" 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0
"submissive" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sullen" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"sunny" 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0
"suspicious" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 3 0 0 0 0 0 0 0 2 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
