"abrupt" "abstract" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bland" "blunt" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "companionable" "compassionate" "complimentary" "confused" "congenial" "considerate" "consistent" "constant" "contented" "cool" "cruel" "cunning" "curious" "dainty" "deep" "despondent" "devilish" "distant" "distrustful" "dull" "eager" "earnest" "envious" "exact" "excessive" "expressive" "facetious" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "glib" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "humorous" "impatient" "imperturbable" "impetuous" "indefinite" "independent" "indifferent" "ingenious" "intimate" "intricate" "jealous" "jovial" "kind" "lazy" "loud" "malicious" "manly" "merciful" "merry" "mild" "moderate" "modest" "moody" "moral" "musical" "narrow" "natural" "negative" "noisy" "obliging" "original" "particular" "patient" "peaceful" "pensive" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "responsible" "restless" "rough" "rude" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "shrewd" "silent" "simple" "sincere" "slow" "sluggish" "smart" "social" "solemn" "spirited" "stable" "steady" "stern" "strict" "submissive" "sunny" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vain" "vigorous" "violent" "vocal" "warm" "wild" "wise"
"profound" 1 0 0 1 3 0 4 0 1 0 1 0 0 2 1 1 1 1 1 4 3 0 0 0 0 3 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 1 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 1 2 0 0 0 1 0 0 2 1 1 0 2 4 1 0 0 0 5 0 0 0 1 0 0 1 1 0 2 0 1 0 0 0 0 1 1 1 3 1 0 1 0 2 0 2 0 0 1 0 0 0 0 0 0 3 0 2 0 0 1 0 0 0 0 1 0 3 1 2
"proper" 0 1 1 1 3 1 2 0 1 0 0 0 2 3 1 0 1 1 2 8 1 0 0 0 0 2 0 0 0 0 1 0 0 3 3 0 1 0 2 2 0 3 0 0 2 1 1 0 1 2 2 1 0 0 1 1 0 1 2 0 0 1 0 0 1 1 0 0 2 0 0 0 0 1 2 2 2 1 0 1 0 1 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 2 5 0 0 0 0 3 1 2 1 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 2 0 1 2 3 0 0 1 0 0 1 1 0 4 0 1 2 1 0 1 1 0 0 0 2 0 3 2 1
"proud" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 4 0 0 2 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 0 1 0 0 0 0 0 1 3 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 2 0 0 1 0
"prudent" 0 1 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 1 0 0 0 0 0 0 0 2 0 1
"quick" 1 0 0 3 0 1 2 0 0 1 0 0 1 3 0 0 2 1 1 6 2 0 0 1 1 6 0 0 0 2 0 0 0 0 3 0 0 2 1 3 0 3 0 0 3 1 3 0 3 0 0 0 0 0 2 4 1 0 0 2 0 2 0 1 1 1 0 1 0 0 1 0 1 0 3 1 1 2 0 0 0 0 0 2 0 2 0 1 6 0 3 2 0 1 0 1 0 1 0 2 0 1 5 0 2 0 4 4 0 1 0 2 6 1 0 1 1 0 1 0 4 0 1 3 0 0 0 0 1 0 0 0 5 1 0 6 2 0 0 0 0 0 0 0 1 2 0 0 0 4 1 0 3 0 2 1 1 0 1 0 0 4 0 0
"quiet" 2 1 1 5 1 2 6 0 0 0 0 2 4 16 7 2 6 0 1 6 9 2 0 3 1 13 0 1 1 2 0 0 1 0 3 2 4 4 2 2 1 10 2 0 7 1 10 2 9 0 2 0 0 0 3 2 2 1 0 3 1 2 1 0 0 7 1 5 0 0 1 2 3 1 4 9 0 2 0 1 1 0 1 0 0 1 0 0 9 0 1 0 1 1 3 3 1 2 0 3 0 6 6 2 6 1 7 6 3 5 1 2 11 0 1 1 1 0 3 4 0 0 3 0 4 2 2 0 0 1 1 0 13 5 3 8 0 1 0 8 2 2 2 1 2 2 2 0 3 4 1 0 8 2 0 3 5 0 2 2 0 5 4 3
"responsible" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"restless" 0 0 1 0 2 0 6 0 1 0 0 1 0 2 3 0 1 0 0 2 1 1 1 0 1 6 0 1 1 0 0 0 0 0 4 0 2 0 0 2 0 2 1 0 1 0 4 1 2 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 4 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 3 1 1 2 2 0 0 0 1 0 0 2 0 0 0 1 3 0 0 2 0 1 1 0 1 0 0 1 4 2 0 5 1 2 1 1 0 0 1 1 0 0 0 0 1 2 0 0 1 0 1 0 2 0 0 0 1 1 2 0
"rough" 0 0 0 0 1 0 1 0 1 0 0 0 0 4 0 0 1 0 0 5 4 0 0 0 3 5 0 0 0 0 1 0 0 0 3 0 1 0 1 2 1 5 0 0 5 0 7 2 0 0 0 0 0 0 1 2 1 0 0 1 0 2 0 0 1 3 0 3 1 0 1 1 0 1 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 3 0 0 1 0 0 0 2 0 0 0 3 4 0 3 0 5 1 1 1 0 1 3 1 0 0 0 0 1 3 0 0 2 0 0 1 0 0 1 0 0 0 4 2 0 4 2 0 1 1 0 0 0 2 0 0 0 0 2 3 0 0 1 0 3 0 2 0 0 0 0 3 4 0
"rude" 1 0 0 2 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 2 0 1 0 0 2 0 0 1 1 1 0 0 4 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"rugged" 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 2 0 0 2 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0
"selfish" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"sensitive" 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 0
"sentimental" 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 2 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"serene" 0 0 0 0 1 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1
"serious" 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 2 0 1 2 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 0 0 2 1 0 1 1 1 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 1 0 0
"shrewd" 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"silent" 1 0 2 3 0 0 8 1 1 0 0 1 2 14 3 1 3 0 0 6 8 0 0 1 2 12 0 1 1 0 1 0 2 0 6 0 4 3 0 4 0 9 2 0 5 1 10 0 4 1 0 1 0 1 3 1 1 1 0 0 1 3 1 0 2 10 0 5 0 1 0 2 2 0 3 4 1 0 0 0 0 1 2 1 0 1 0 0 10 0 2 0 1 2 2 1 0 1 0 5 0 6 6 1 3 0 6 7 1 2 1 2 9 0 0 3 2 1 1 5 13 0 4 4 1 2 0 1 0 0 0 1 0 5 1 3 0 0 2 6 0 1 0 2 1 1 1 1 6 9 2 0 5 1 3 2 3 0 0 2 0 6 6 1
"simple" 0 0 1 1 0 0 4 0 1 0 0 0 1 6 2 0 1 0 1 8 4 1 1 1 3 4 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 4 0 0 2 0 3 0 3 0 1 1 0 0 0 1 0 0 0 1 0 2 1 1 1 5 0 3 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 1 0 1 0 0 5 0 2 0 0 1 0 4 2 0 0 3 0 4 0 0 1 0 4 1 1 0 0 0 6 0 0 1 0 1 0 1 5 0 2 2 0 0 1 0 0 0 1 1 5 0 1 1 0 1 0 3 0 1 0 2 0 0 1 0 2 2 1 1 2 0 0 0 4 0 0 2 0 2 2 1
"sincere" 0 1 0 2 1 0 0 0 1 0 0 1 1 2 1 0 2 0 0 2 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 2 1 0 2 1 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 2 0
"slow" 1 0 0 1 1 2 6 0 0 0 0 1 3 7 3 0 3 1 2 4 4 2 0 1 1 8 0 0 0 1 0 0 0 1 4 0 4 1 3 6 0 6 0 1 5 0 9 2 1 1 0 0 1 0 2 6 1 3 0 2 0 1 0 1 1 3 0 5 1 0 0 0 0 1 3 5 0 3 1 0 0 0 1 1 0 0 0 2 3 2 0 1 1 1 1 0 0 0 0 2 0 0 1 0 6 0 4 1 1 3 1 1 2 1 0 1 2 0 0 6 8 0 5 4 1 1 1 0 1 0 1 0 3 1 1 0 2 1 0 4 1 0 1 1 0 2 1 1 1 2 0 3 2 0 0 2 4 0 2 1 0 4 4 1
"sluggish" 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0
"smart" 0 0 1 0 3 0 2 0 2 0 0 0 0 3 0 0 1 0 1 4 1 0 0 0 0 6 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 2 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 2 0 0 0 0 1 0 0 0 0 2 1 0 2 1 0 0 0 1 0 2 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"social" 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"solemn" 0 0 3 1 0 0 0 0 0 0 0 0 2 6 3 0 2 1 0 4 3 1 0 0 0 8 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 6 0 1 4 0 4 0 1 1 1 1 1 1 1 0 1 0 0 0 0 2 1 0 1 3 0 2 2 0 0 0 0 0 2 3 1 0 0 0 0 1 0 0 0 0 2 0 1 0 2 1 1 1 1 2 0 1 0 2 0 4 0 0 2 0 5 1 1 2 1 0 1 1 0 2 3 3 0 0 8 0 1 1 2 1 1 0 0 0 0 0 6 3 1 4 0 0 1 0 0 0 0 1 0 1 0 0 2 2 1 0 0 0 0 0 2 0 2 2 0 1 1 1
"spirited" 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"stable" 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"steady" 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"stern" 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 2 2 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1
"strict" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"submissive" 1 0 0 0 0 3 0 0 0 0 0 0 1 1 1 0 2 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1
"sunny" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1
"suspicious" 1 0 0 0 1 1 2 0 1 0 0 1 1 1 2 0 1 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 2 1 0 2 0 0 0 2 2 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0
"tender" 0 0 2 1 0 3 1 0 1 0 0 1 2 3 0 0 1 0 1 4 0 0 0 0 1 2 0 0 1 0 0 0 1 2 3 0 1 1 0 1 1 6 0 1 3 0 5 0 2 1 1 2 0 0 0 0 1 1 0 1 0 0 0 0 1 5 0 3 0 0 0 0 1 2 1 3 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 2 0 1 0 1 2 0 3 2 1 1 0 0 3 0 0 0 4 1 2 0 3 0 1 2 0 0 0 0 0 0 0 1 6 2 0 1 0 0 1 2 0 0 2 1 0 0 0 1 0 1 2 0 2 0 0 1 1 0 0 0 0 2 4 0
"thoughtful" 1 0 0 3 1 1 3 1 1 0 0 0 1 7 2 0 1 2 1 5 6 0 0 1 1 6 0 1 0 0 1 0 0 0 6 0 0 2 1 2 0 6 2 0 4 0 4 1 3 0 0 0 0 1 2 2 1 0 1 2 1 1 0 0 2 3 0 4 0 0 1 0 1 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 4 0 4 0 0 2 1 2 0 1 0 3 0 2 3 1 0 0 2 4 1 1 1 0 4 0 0 3 0 1 0 4 4 0 2 3 0 0 0 2 0 1 1 0 9 2 0 2 0 0 0 2 0 0 1 1 1 0 0 0 1 0 0 2 3 0 2 0 2 1 1 1 0 2 2 0
"thoughtless" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 3 1 1 0 0 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0
"tight" 0 0 0 0 4 0 1 0 0 1 0 0 0 1 0 0 0 0 0 4 3 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 3 0 0 1 0 2 1 2 2 1 0 0 0 1 2 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 3 1 1 2 0 0 0 3 4 0 0 0 0 4 0 1 2 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 2 0 1 1 0 0 0 1
"timid" 0 2 0 2 1 0 3 0 1 1 0 1 1 7 1 0 1 0 0 3 3 1 0 1 0 2 0 2 0 0 1 0 2 0 2 0 1 0 1 1 1 5 1 0 2 1 5 0 4 0 1 0 0 0 0 2 0 0 1 0 0 0 1 0 0 4 1 3 1 0 1 1 0 1 1 4 0 1 0 0 1 0 1 0 0 2 1 0 4 0 1 1 0 0 1 0 1 1 0 2 0 3 3 1 4 0 0 3 1 0 0 1 5 1 0 0 1 0 1 3 8 0 1 1 0 1 0 0 0 1 2 0 5 2 2 2 0 0 0 0 1 0 0 0 1 0 0 0 2 3 1 0 0 1 0 1 1 0 1 1 0 0 2 0
"treacherous" 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 1 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 3 0 0 0 2 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 2 0 0 0 1 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0
