"active" "affectionate" "awkward" "bitter" "bold" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "cold" "confident" "confidential" "considerate" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fearful" "fervent" "fierce" "fiery" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "intense" "jealous" "keen" "kind" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "mournful" "natural" "nervous" "nigh" "noiseless" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "polite" "prompt" "proud" "punctual" "quick" "quiet" "rapid" "reasonable" "respectful" "responsible" "restless" "rigid" "rough" "rusty" "sad" "sarcastic" "scrupulous" "second" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "sober" "soft" "solemn" "spirited" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "susceptible" "sweet" "thoughtful" "thoughtless" "tight" "timid" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing" "worldly" "wise"
"steady" 0 0 1 0 0 0 1 1 1 1 2 2 0 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 0 2 0 0 0 1 1 0 0 1 1 2 0 3 2 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 3 0 2 0 2 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 2 1 0 0 0 3 0 1 0 0 2 0 1 0 0 3 2 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 2 0 3 3 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 2 1 0 0 1 0 1 1 0 1 0 0 1
"stern" 0 3 0 0 0 0 1 0 1 0 1 0 0 1 0 6 0 0 0 0 1 0 1 3 1 0 1 1 1 0 1 0 0 1 0 2 0 0 2 0 0 1 1 1 1 1 4 0 0 2 1 1 3 0 0 0 2 1 3 0 1 4 1 3 0 2 0 0 0 0 2 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 0 1 3 3 4 0 1 2 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 2 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 5 2 1 3 0 1 0 1 0 1 2 0 1 1 0 0 2 0 2 0 0 0 1 0
"stiff" 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 2 2 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1 0 0 3 0 1 0 0 3 1 1 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 1 0 0 0
"strict" 1 1 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 1 1 1 0 0 0 0 2 0 0 3 0 2 2 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 2 1 1 1 0 4 2 0 0 0 2 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 3 0 1 0 0 1 0 1 0 0 0 2 0 2 1 2 0 0 1 0 1
"strong" 1 9 5 0 3 1 3 1 6 3 14 5 2 3 6 11 3 1 0 4 4 5 2 4 2 1 1 2 2 6 7 2 1 6 4 2 2 0 2 1 1 7 6 3 0 1 17 3 2 5 1 1 9 2 2 1 2 1 8 5 3 11 4 8 2 3 1 1 2 3 1 3 1 6 1 1 4 6 4 1 2 1 2 10 4 3 1 3 15 8 14 2 2 10 1 1 12 2 3 11 1 1 3 2 3 4 3 2 2 1 1 13 0 9 3 8 2 5 0 2 0 5 3 3 1 5 2 1 0 3 7 26 1 2 4 1 5 0 15 2 0 2 7 0 4 2 8 2 8 3 2 1
"sudden" 2 0 2 2 0 2 0 0 0 0 5 3 0 2 1 5 2 2 0 1 1 3 1 0 2 1 1 1 1 1 2 1 0 1 3 1 0 0 0 0 0 1 6 0 0 0 3 1 1 2 3 0 3 0 3 0 0 0 3 2 2 0 2 2 2 0 2 0 0 0 1 1 0 4 1 0 0 9 1 6 0 0 0 3 2 0 1 1 4 1 3 1 0 2 0 0 1 1 4 4 1 1 1 0 0 0 1 0 1 1 0 4 0 1 3 5 0 1 0 0 1 1 2 1 0 2 0 1 3 0 2 12 1 4 0 2 0 0 7 0 0 1 3 2 3 0 6 2 2 1 2 0
"sufficient" 0 0 0 2 0 0 1 0 3 1 4 0 0 1 1 5 1 1 1 0 1 2 0 2 3 4 0 1 2 3 6 1 0 1 1 2 2 0 0 0 0 4 2 2 0 0 3 0 0 4 2 1 1 2 1 0 3 0 2 2 1 4 0 3 3 0 0 1 1 1 0 2 1 3 2 2 0 2 1 2 1 1 1 1 4 0 0 1 3 3 2 2 1 2 1 0 2 2 4 3 0 0 1 0 0 0 0 2 0 1 1 6 2 2 2 5 3 2 0 1 0 0 1 1 0 1 1 1 7 2 0 3 0 1 0 2 0 1 6 0 1 0 1 2 1 1 3 4 5 1 0 1
"sure" 5 3 5 7 6 1 3 4 6 3 34 9 2 5 5 19 3 4 1 6 4 4 3 6 9 0 4 6 3 9 9 1 3 5 7 6 3 1 1 0 1 4 13 3 2 1 21 3 4 10 1 1 5 6 7 4 3 0 18 11 4 9 3 16 4 6 4 5 5 2 2 6 2 15 5 3 1 16 3 7 3 1 2 24 6 4 1 2 17 8 20 5 3 20 2 2 14 2 6 16 4 4 4 3 5 3 9 1 7 3 1 16 5 17 7 14 4 9 1 2 6 7 1 4 1 3 3 3 26 12 3 0 4 11 4 3 8 0 24 2 1 5 11 2 4 2 18 6 10 5 5 2
"susceptible" 1 0 0 0 0 0 1 0 0 0 3 3 0 0 0 1 0 0 1 1 0 0 0 1 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 1 1 0 0 0 1 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 4 0 1 0 3 0 0 2 0 0 0 0 1 1 0 0 1 1 1 0 0
"sweet" 1 0 3 2 1 2 1 1 0 0 3 2 1 0 3 5 0 1 1 3 0 1 0 0 3 0 0 0 0 1 0 0 0 2 2 0 0 0 0 0 0 0 2 1 0 2 4 0 0 3 1 1 0 2 0 1 2 0 1 0 0 0 1 1 0 2 1 1 1 1 0 1 0 6 1 1 1 1 1 1 1 1 0 5 0 3 1 1 5 2 5 0 1 6 1 1 5 3 1 5 1 0 0 0 0 0 1 0 1 0 0 4 1 4 2 2 1 1 0 0 5 1 1 0 0 1 0 1 2 4 1 11 1 0 1 1 2 0 4 1 0 0 1 2 3 0 3 1 0 1 0 0
"thoughtful" 0 1 0 0 1 0 0 0 1 1 2 0 1 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 3 1 1 0 0 0 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 1 2 0 0 1 0 2 0 0 0 1 0 0 0 0 1 3 0 0 0 0 2 2 4 0 0 2 1 0 2 0 1 0 0 0 1 1 0 0 0 2 1 0 0 2 0 0 0 2 0 3 0 0 0 2 0 0 0 0 0 0 4 0 0 4 0 1 0 1 1 0 2 0 0 0 0 0 1 0 4 0 1 0 0 0
"thoughtless" 1 0 0 1 0 0 0 0 0 0 2 1 1 0 0 2 0 0 1 1 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 3 1 0 1 1 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 2 1 3 1 0 0 2 0 1 0 0 0 1 0 1 1 0 1 1 2 3 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 1 0 1 0 1 2 1 0 2 0 0 1 0 0 0 0 1 0 0 1 2 2 3 3 1 1 0 0 0 2 0 0 1 0 2 2 0 0 0 1 0 0 0
"tight" 0 0 1 1 0 1 0 1 2 0 5 1 1 1 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 0 0 3 0 0 3 0 0 2 0 0 0 0 0 0 1 0 1 0 1 1 0 3 1 1 0 0 1 0 1 2 0 1 1 0 1 2 0 0 0 1 0 2 0 1 0 0 1 1 2 1 1 3 0 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 1 2 0 3 1 2 0 1 0 0 1 2 0 1 1 0 0 1 5 0 0 8 0 2 1 0 0 0 1 0 0 1 1 0 2 0 3 0 3 0 0 0
"timid" 0 1 1 0 0 0 2 0 0 0 1 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 2 0 0 1 1 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0
"true" 3 2 3 4 4 1 2 1 4 2 9 2 0 3 5 9 1 2 1 5 1 3 0 1 4 2 2 1 2 6 3 1 0 5 5 4 0 1 2 1 1 5 3 0 3 1 14 0 0 4 0 0 4 1 3 2 2 0 4 4 3 7 2 4 1 4 0 3 2 1 3 3 1 5 1 0 2 9 2 1 3 1 3 9 3 1 1 2 7 4 5 0 3 9 1 0 9 4 2 10 0 1 1 0 3 2 2 1 4 1 0 9 1 6 3 7 2 3 0 1 4 2 2 1 1 2 1 1 15 7 6 24 2 4 2 2 1 1 0 3 1 2 3 2 5 2 8 7 2 1 3 1
"ugly" 0 1 1 1 0 2 0 1 2 1 2 2 1 0 1 4 2 0 0 2 1 0 2 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 2 1 1 1 1 1 1 0 0 0 2 0 0 0 0 0 2 1 1 2 0 1 0 0 0 1 1 1 0 1 0 2 0 0 0 1 0 1 1 0 0 2 1 0 0 0 3 0 5 0 0 1 1 1 1 0 2 1 0 0 1 0 2 0 0 1 2 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 2 0 0 0 2 0 0 2 0 1 0 0 0 0 3 0 0 0 0 1 0 1 1 0 0 0 0 0
"uncertain" 0 1 0 1 2 0 0 0 1 0 1 0 0 1 0 4 0 1 1 0 0 0 0 0 1 0 0 0 1 3 1 0 0 1 0 1 0 0 0 0 0 1 4 1 0 0 2 0 0 2 0 0 0 1 0 0 1 0 1 1 2 5 0 2 1 2 0 0 1 0 1 1 0 1 0 0 0 2 0 1 0 0 0 3 0 0 0 0 3 0 2 0 0 3 1 0 0 0 1 3 1 0 0 0 1 0 0 1 1 0 0 0 1 0 1 3 0 2 1 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1
"ungrateful" 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 1 1 2 3 0 0 1 0 0 0 0 1 0 2 0 0 0 2 0 1 0 0 0 1 0 1 0 0 2 0 0 1 2 1 0 0 0 0 0 3 2 0 0 1 0 0 0 0 3 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 2 1 0 5 0 0 0 1 1 0 2 0 0 0 2 0 0 0 2 0 3 1 1 1
"unhappy" 0 0 0 2 1 0 2 2 1 0 6 1 0 3 2 1 1 1 0 2 0 3 2 0 0 0 0 1 1 2 3 0 0 1 0 0 1 1 1 0 0 5 3 1 0 0 2 2 2 1 0 0 1 0 1 2 0 0 2 1 3 4 2 4 2 2 4 2 1 0 0 1 0 4 0 1 0 3 0 2 0 0 0 4 3 1 0 1 6 1 3 3 0 4 0 1 2 1 1 4 1 1 0 1 1 0 0 1 0 0 0 3 3 4 0 1 1 0 0 0 0 2 2 0 0 0 0 2 7 3 1 11 0 1 0 0 1 1 3 0 0 2 0 0 1 0 5 0 4 3 1 1
"vague" 1 1 0 0 0 0 0 1 0 1 3 2 0 0 1 2 1 1 0 0 1 0 0 0 2 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 2 1 0 0 0 0 1 0 0 0 3 2 0 1 2 0 2 0 0 0 1 0 0 1 0 2 0 0 1 1 0 1 2 1 2 1 4 1 0 0 0 1 0 0 0 1 0 0 1 0 2 2 3 1 1 1 0 1 0 0 1 1 0 0 0 0 2 2 2 1 2 0 2 0 0 2 1 1 0 0 0 1 1 1 1 0 0 0 0
"vain" 1 1 0 2 1 0 1 1 0 0 2 1 0 0 1 4 0 0 0 1 0 1 1 0 2 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 3 2 1 0 2 2 0 1 0 0 0 0 0 1 1 2 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 2 1 1 0 1 0 1 0 2 4 0 1 1 3 0 1 2 0 1 2 0 0 0 0 0 0 1 0 0 1 0 3 0 3 1 1 0 1 0 1 3 2 0 2 0 2 0 2 4 3 1 4 1 3 1 2 2 0 5 0 0 0 1 1 0 0 4 1 2 0 0 0
"vicious" 0 1 1 0 1 0 0 2 1 1 2 2 0 0 0 3 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 2 1 1 0 1 0 1 1 0 0 0 1 0 0 1 1 1 3 0 2 0 2 1 0 0 0 1 3 0 0 1 0 1 0 1 2 0 1 0 1 0 1 0 1 1 0 1 5 1 0 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 2 0 1 2 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0
"violent" 1 2 2 4 1 0 0 3 3 3 8 1 1 1 4 8 0 1 0 4 2 3 1 0 4 1 0 1 3 1 2 1 0 0 1 3 2 0 2 2 1 3 6 1 0 2 6 3 2 5 2 1 5 0 2 1 1 0 4 2 4 6 4 6 1 4 2 0 3 1 3 2 1 4 2 1 1 5 1 4 1 1 0 3 2 2 1 1 13 5 5 2 0 7 1 0 8 1 3 3 5 1 1 1 1 4 1 2 1 1 1 5 5 5 3 12 1 3 0 1 2 2 0 2 1 2 1 2 8 6 3 18 0 3 4 0 3 0 8 1 0 2 5 1 4 0 0 2 6 1 1 1
"virtuous" 0 1 0 0 1 0 0 1 0 2 2 1 0 0 1 0 1 1 0 1 0 2 0 1 1 2 1 0 0 0 3 1 0 0 1 1 2 0 0 0 0 1 1 0 0 0 7 0 0 0 0 0 1 0 1 0 1 0 2 0 0 1 0 3 0 1 0 0 2 0 0 1 1 2 2 1 0 1 0 0 1 0 1 4 1 0 0 0 1 1 2 0 0 4 0 0 2 0 3 4 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 2 0 0 0 2 0 2 2 4 6 1 1 0 0 0 1 7 0 0 0 0 1 1 0 2 0 1 1 1 0
"weak" 0 0 4 3 1 0 1 1 2 2 4 2 0 0 1 5 0 0 0 1 1 2 0 2 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 3 2 1 0 5 1 2 2 1 2 1 1 2 0 2 0 3 0 1 4 1 6 3 1 0 0 1 2 0 2 0 1 1 2 0 5 0 3 0 0 0 3 2 0 0 0 4 3 4 3 0 1 0 0 2 0 3 3 2 0 0 1 0 0 1 0 1 1 0 5 3 3 0 3 2 2 0 2 0 2 2 2 1 0 1 0 8 2 5 10 1 0 1 1 3 0 2 0 0 3 4 0 2 1 6 1 0 3 0 0
"willing" 0 0 0 2 0 0 2 0 0 0 3 1 1 1 1 2 0 0 0 0 0 2 0 0 1 1 0 1 1 2 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 2 0 1 1 0 0 0 1 0 2 1 1 0 0 4 1 0 0 0 0 1 0 1 0 2 0 0 0 1 1 2 1 0 1 3 2 2 0 0 3 0 2 0 0 2 0 0 1 0 0 3 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 2 3 0 0 0 0 1 1 0 0 0 0 1 3 1 1 5 1 1 0 0 0 1 1 0 1 1 3 0 0 0 1 1 3 0 0 1
"worldly" 0 1 1 0 0 0 0 1 1 0 2 0 0 0 1 2 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 1 0 0 2 0 0 1 1 0 1 1 1 1 2 1 0 2 2 0 1 0 1 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 2 0 0 0 0 3 1 2 1 1 1 0 0 3 0 0 1 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 2 0 5 0 0 0 0 0 1 3 0 0 1 1 0 0 0 1 1 0 0 0 0
"wise" 2 0 0 1 1 0 0 0 2 0 2 1 1 0 1 1 0 0 0 2 0 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 1 1 1 0 0 4 1 2 0 0 3 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 2 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0
