"active" "affectionate" "awkward" "bashful" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "complimentary" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "direct" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "expressive" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "frank" "free" "fresh" "friendly" "gallant" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "impatient" "independent" "indifferent" "intense" "jealous" "keen" "kind" "literary" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "military" "moderate" "modest" "natural" "neat" "nervous" "noisy" "open" "original" "particular" "peaceful" "pecksniffian" "pious" "placid" "playful" "pleasant" "polite" "practical" "proud" "prudent" "punctual" "quick" "quiet" "rapid" "reasonable" "restless" "rough" "rusty" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "spiritual" "stable" "stealthy" "stern" "stiff" "straight" "strong" "sudden" "sufficient" "sure" "surly" "sweet" "talkative" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "unhappy" "unmindful" "vague" "vain" "violent" "virtuous" "watchful" "weak" "worldly" "wise" "willing" "zealous"
"second" 1 2 1 0 1 0 1 0 2 1 2 1 1 11 5 0 0 6 3 0 0 1 3 1 1 2 5 1 0 2 0 1 0 8 2 2 0 0 2 1 1 2 0 1 2 4 3 5 1 9 1 2 3 2 1 2 1 2 4 2 3 0 1 8 4 0 1 0 1 3 2 2 0 0 2 4 2 5 3 2 3 1 1 1 1 0 2 0 4 2 0 1 10 0 12 1 1 2 1 1 7 2 0 3 1 1 3 6 1 3 1 2 2 2 0 0 3 2 4 2 2 0 6 6 2 0 2 0 3 6 1 1 1 1 0 3 0 12 3 3 14 1 7 0 0 2 1 1 2 2 5 2 0 1 1 0 0 0 2 2 2 1 1 2
"selfish" 0 0 0 0 1 0 0 0 0 1 1 1 2 2 1 0 0 2 3 1 1 0 1 1 0 2 2 1 0 3 1 1 1 1 0 0 0 4 1 1 0 1 0 1 1 2 2 2 1 4 3 0 2 0 0 2 1 0 0 1 1 1 0 1 3 0 0 0 0 1 0 1 0 0 0 5 0 1 1 1 1 0 0 2 1 0 0 0 6 0 0 0 2 0 3 0 1 0 0 1 2 1 0 3 2 0 1 2 1 0 0 2 0 0 1 3 0 1 1 0 0 0 3 2 1 0 0 0 0 0 1 0 0 1 0 0 0 3 0 0 5 0 1 0 0 0 1 0 0 1 6 0 1 0 0 2 2 0 0 1 0 1 0 1
"sensible" 1 0 1 0 0 0 0 0 0 1 0 0 1 5 1 0 0 1 1 1 0 1 0 1 0 0 0 2 0 1 0 0 2 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 3 0 1 1 0 1 0 3 1 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 2 0 1 0 0 0 1 1 3 1 0 2 1 0 2 2 0 0 0 0 0 0 0 2 1 0 2 0 1 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 0 2 1 0 4 0 3 1 0 0 2 2 1 1 1 0 0 0 0 0 1 1 2 1 0 0 0 0
"serious" 2 1 3 0 0 1 2 1 1 2 1 2 1 10 5 2 1 0 3 0 0 0 1 1 2 3 1 1 1 2 1 2 1 3 2 2 1 0 0 0 0 0 0 1 2 3 0 2 0 8 1 2 2 0 1 0 0 2 2 4 0 1 1 5 1 0 1 0 2 0 1 3 1 0 1 1 1 3 0 0 0 2 1 5 3 1 1 1 3 2 0 0 7 0 9 0 0 0 2 2 6 2 1 5 2 0 2 4 0 2 1 1 0 2 1 4 1 2 0 1 1 0 2 4 3 3 1 2 0 2 0 0 1 0 0 2 1 8 1 1 12 0 6 1 1 2 1 3 3 0 4 1 2 1 0 0 1 0 2 1 1 1 1 0
"severe" 0 0 1 1 0 0 1 0 0 1 1 0 0 3 0 0 0 1 1 1 0 1 0 1 3 2 1 0 1 1 0 0 0 1 2 0 0 0 0 0 0 1 0 1 1 4 1 1 0 4 0 0 1 0 2 1 0 2 1 0 0 0 0 2 3 0 0 2 0 0 2 0 0 1 0 1 0 1 1 0 1 0 2 0 0 0 0 0 1 0 0 0 4 0 4 0 0 0 0 0 3 1 1 0 0 1 1 3 0 1 0 2 0 0 0 2 0 0 1 0 0 0 2 2 1 1 0 1 2 1 0 0 0 0 1 1 0 4 0 2 3 0 1 0 0 0 0 1 0 0 1 0 0 0 0 2 0 1 0 1 1 1 1 0
"shrewd" 0 0 0 0 0 0 0 1 1 1 0 2 1 5 0 0 0 2 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 1 2 1 0 0 1 0 0 1 0 0 0 3 0 2 1 0 0 0 0 2 1 0 0 0 0 1 2 0 1 0 1 0 0 0 2 0 1 1 0 0 0 0 2 1 0 1 0 1 0 0 0 0 0 0 1 0 4 0 0 6 0 3 0 1 0 0 3 2 0 2 0 1 0 1 0 0 0 0 2 1 0 0 0
"shy" 2 0 1 0 1 0 0 0 2 0 0 0 0 2 3 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 0 1 0 0 1 0 1 2 1 1 0 0 2 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 2 0 0 1 0 1 0 1 1 1 0 0 0 0 0 3 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 2 0 0 0 0 0 0 1 0 0 4 2 1 0 0 0 0 0 0 0 0 0 0 0
"silent" 2 5 4 1 1 1 3 2 3 7 0 2 0 11 6 1 2 5 11 1 3 2 4 5 2 7 2 1 0 1 2 1 4 10 0 1 0 2 3 0 1 1 2 2 1 3 7 3 2 7 2 0 11 1 1 5 1 1 4 2 1 2 2 12 8 1 1 3 1 2 0 0 2 3 1 3 1 4 1 2 6 0 2 2 3 1 2 1 7 0 4 2 10 1 6 0 0 3 1 0 6 0 0 1 1 0 9 16 4 2 0 1 0 1 1 6 3 2 2 2 0 2 0 4 9 0 2 1 0 7 4 0 1 0 2 1 3 16 7 2 17 1 5 0 1 4 2 1 6 2 12 3 2 3 1 2 3 0 6 5 2 4 1 1
"simple" 0 2 1 1 0 1 1 2 1 0 2 2 1 8 2 1 0 1 7 1 2 1 2 2 2 2 2 0 1 0 1 1 1 3 0 2 0 2 2 1 0 1 2 2 1 3 3 1 1 3 2 1 3 0 0 1 0 1 7 0 1 1 1 3 4 0 0 2 0 2 1 2 1 1 0 1 0 4 0 1 3 1 3 1 2 0 1 0 3 1 1 1 4 0 4 0 0 0 0 1 7 2 0 3 0 1 2 5 2 3 0 1 0 2 1 6 2 0 4 2 2 1 4 0 2 0 0 0 2 2 0 0 1 0 0 0 0 2 1 1 10 1 3 0 0 0 1 0 0 2 9 2 0 1 0 0 0 0 0 0 2 1 0 0
"slow" 0 1 1 0 0 0 3 1 0 1 1 0 1 8 7 0 2 1 6 0 1 1 2 0 0 1 2 0 0 3 1 0 0 3 0 1 0 1 1 1 0 1 0 0 1 2 3 0 0 5 1 0 5 0 0 2 2 0 4 1 1 1 1 5 3 2 0 1 1 0 1 0 0 0 1 3 0 1 1 0 1 0 1 0 2 0 0 0 4 1 1 0 5 1 3 2 0 0 0 0 3 0 0 2 0 0 1 5 1 1 0 0 0 0 1 2 1 0 3 1 1 1 9 2 0 0 0 3 0 2 0 0 0 0 2 0 1 5 2 0 10 1 1 0 2 2 0 0 2 1 7 2 2 0 0 1 1 0 2 3 0 1 0 1
"smooth" 0 0 0 0 0 0 0 0 1 2 0 0 0 3 1 0 0 2 1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 2 0 2 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1 0 1 2 0 0 2 0 1 0 1 1 1 0 0 1 2 2 0 0 2 0 3 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 2 2 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 4 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
"sober" 0 1 0 0 0 1 1 0 1 1 0 0 1 3 0 1 0 1 0 0 0 1 0 0 1 1 2 0 0 1 0 0 3 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 1 2 1 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 1 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 4 0 2 1 0 2 1 0 2 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0
"social" 1 0 1 0 0 0 0 0 1 2 1 0 1 5 2 1 0 0 2 0 0 1 1 0 0 0 0 0 0 5 1 1 1 2 0 1 0 0 1 2 0 0 0 0 0 3 0 0 0 5 0 0 0 2 0 1 0 0 1 1 0 0 0 2 3 1 0 0 0 0 1 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 2 0 3 2 1 0 0 0 3 0 1 1 0 1 0 1 0 2 0 1 0 0 2 0 0 0 2 1 0 0 1 0 3 0 0 0 0 1 0 1 0 0 0 1 0 4 1 1 4 0 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 0 0 1 1 0 0
"soft" 0 2 0 1 1 1 1 0 2 1 2 1 0 4 0 1 0 2 2 0 0 0 1 0 1 1 2 0 1 1 0 0 0 4 0 0 0 0 1 1 0 0 1 0 0 4 5 2 0 4 0 1 2 1 1 2 1 0 1 1 1 1 1 2 1 0 1 0 0 0 1 1 0 1 0 3 0 0 0 1 1 0 3 0 4 0 1 0 1 2 0 0 6 0 4 2 1 0 0 1 6 0 0 3 0 0 0 3 0 0 2 0 0 1 0 3 0 0 0 2 1 0 0 2 0 1 0 0 0 2 0 0 1 1 0 1 0 6 0 0 6 1 2 0 0 0 0 2 1 2 0 0 0 0 1 3 0 1 0 1 0 0 0 0
"solemn" 1 3 0 0 2 0 1 0 2 1 0 0 0 11 3 2 0 5 4 1 0 3 1 0 1 3 3 1 1 0 0 0 0 4 0 3 0 0 1 1 2 2 0 1 0 2 1 2 0 8 0 2 4 0 1 2 0 2 2 0 2 1 1 3 4 0 2 4 1 1 1 0 1 1 0 2 1 2 1 1 1 2 2 1 2 1 2 1 4 1 1 0 7 1 9 0 0 2 0 0 8 2 3 1 1 0 4 4 0 3 0 0 0 1 0 6 0 1 2 1 0 0 7 2 2 0 0 1 2 0 1 0 1 0 2 0 0 6 0 2 7 0 2 1 0 0 1 1 1 0 3 2 0 3 0 2 1 1 3 0 2 1 1 0
"sorrowful" 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 2 0 0 0 0 2 1 0 0 1 1 0 2 0 0 1 0 1 0 1 2 1 0 2 0 0 0 0 0 0 0 0 0 2 0 2 1 2 0 0 0 0 2 0 2 0 0 0 2 0 1 0 3 0 2 0 0 2 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 4 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 0 2 0 2 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 2 0 0 1 0
"spiritual" 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 3 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 3 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 3 1 0 2 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1 0 1
"stable" 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 3 3 0 0 0 0 0 1 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 0 3 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0
"stealthy" 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 3 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 1 2 0 0 1 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 0 0 0 4 0 2 1 1 1 0 0 3 1 0 1 0 0 1 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0
"stern" 1 1 1 0 1 0 1 0 0 1 1 0 0 5 3 1 1 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 2 0 0 1 1 0 2 0 0 0 0 1 2 1 0 0 1 1 0 0 0 1 0 1 1 0 2 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 3 0 1 0 0 1 1 0 0 0 0 0 0 0
"stiff" 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 2 0 0 0 5 0 4 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 3 0 0 2 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 5 3 0 6 0 2 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0
"straight" 0 1 0 0 0 0 3 0 0 0 0 0 0 4 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 4 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 0 1 1 1 0 1 0 2 0 0 0 0 1 3 0 0 1 2 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 3 0 0 5 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0
"strong" 2 3 3 2 5 0 2 4 3 4 4 2 2 29 9 3 6 8 11 0 4 5 3 1 6 7 5 2 3 9 2 2 5 18 1 3 2 5 9 2 1 2 4 2 3 14 9 4 1 22 4 4 12 3 2 7 4 5 14 9 6 3 4 13 10 3 2 6 2 2 7 1 1 2 2 11 2 8 3 2 6 3 8 2 5 4 2 1 11 1 5 4 14 3 19 2 3 5 2 2 11 1 3 7 3 3 8 10 2 2 2 5 1 4 5 12 3 2 8 4 4 2 16 2 5 1 0 4 6 6 2 3 1 0 1 5 3 0 11 4 31 1 9 2 1 4 4 6 8 2 16 1 4 4 0 3 3 4 3 9 6 4 3 3
"sudden" 0 2 0 1 1 3 2 0 1 3 1 2 1 8 5 0 3 1 4 0 1 1 0 0 1 2 0 0 0 1 1 2 2 5 2 1 0 0 2 1 0 1 2 1 0 4 3 1 0 9 0 1 3 2 2 2 1 1 2 0 1 0 1 1 1 1 0 1 2 0 1 0 0 2 1 1 0 1 1 0 5 1 1 1 1 1 1 1 3 2 1 1 7 0 3 0 1 0 1 0 6 0 0 1 0 0 4 4 0 1 1 0 1 0 0 3 0 1 1 0 0 1 7 1 2 1 1 1 0 0 1 1 0 0 1 3 0 11 0 0 9 1 3 1 0 0 0 0 2 0 2 0 0 0 0 2 3 0 0 3 1 0 0 0
"sufficient" 1 0 1 1 0 1 2 1 1 0 1 1 0 2 1 0 1 2 2 0 0 1 2 1 0 1 2 0 1 2 0 0 0 2 0 2 1 1 2 0 0 1 0 1 1 1 2 2 2 7 0 1 1 1 0 1 0 3 1 2 1 2 1 1 2 0 0 1 1 1 0 1 0 0 0 2 0 2 1 0 3 0 0 0 0 0 0 2 0 0 0 2 1 0 4 1 0 1 0 0 5 1 1 2 0 0 0 0 0 1 0 1 1 2 1 3 0 0 1 2 0 0 2 1 0 0 1 1 0 2 0 0 0 1 0 0 0 4 0 0 5 0 1 0 1 0 1 2 2 0 5 0 0 2 1 0 0 0 0 0 0 1 1 1
"sure" 1 3 5 4 4 2 10 4 6 6 1 3 9 37 10 3 1 9 17 2 5 8 4 4 8 8 12 3 2 7 2 3 8 22 3 3 3 7 7 3 2 2 5 3 4 16 8 12 1 24 6 3 18 1 7 8 3 14 12 8 8 5 4 17 11 3 2 6 4 5 1 6 2 4 6 15 1 14 2 4 12 1 8 5 6 1 2 5 16 4 5 5 27 3 25 3 1 4 3 3 32 3 5 16 1 2 11 25 4 3 1 3 1 5 2 14 5 4 12 3 6 2 17 10 10 4 4 4 6 7 2 2 2 2 1 6 5 31 9 5 0 3 18 5 3 5 4 9 7 5 27 6 6 0 2 5 3 4 2 6 1 4 3 2
"surly" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 2 3 0 0 0 0 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 0 2 2 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 3 0 0 0 0 0 1 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 3 0 2 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1
"sweet" 2 2 3 1 1 0 5 2 1 1 1 4 2 11 1 0 0 4 4 0 1 2 3 2 3 4 5 1 0 1 3 0 5 3 4 1 1 1 3 2 2 0 3 1 1 3 4 1 0 9 1 1 6 2 3 2 2 6 3 1 1 3 1 4 3 2 0 2 2 3 0 1 1 1 0 6 2 4 1 2 4 0 3 0 3 0 1 2 6 0 1 2 9 0 7 3 0 2 3 2 9 0 1 3 1 0 2 7 0 1 0 0 0 4 0 7 1 3 6 1 3 0 5 3 1 0 2 0 2 2 2 1 0 1 1 2 0 9 3 1 18 2 0 1 3 2 1 1 3 2 7 1 1 0 1 1 2 0 0 2 0 2 1 0
"talkative" 0 1 0 0 1 0 1 0 0 1 0 1 1 3 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 2 0 1 2 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 1 3 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 1 0 5 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"tearful" 0 0 1 0 0 0 2 0 0 0 0 1 0 3 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 0 0 1 0 0 0 0 1 2 0 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 3 0 3 0 0 1 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
"tender" 0 1 1 0 0 0 2 0 2 2 0 0 0 1 1 0 1 2 2 0 0 2 1 1 1 2 2 0 0 1 2 1 1 5 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 4 0 2 2 1 0 0 0 1 1 0 1 0 0 2 3 1 0 2 0 0 0 1 1 0 0 2 1 2 1 0 1 0 2 1 0 0 0 0 2 1 0 1 2 2 2 1 1 1 1 0 4 0 0 2 1 0 0 1 0 0 1 0 0 0 1 2 0 0 2 0 0 0 4 0 2 2 2 1 0 0 0 1 1 0 0 1 1 4 0 0 5 1 2 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1
"thankful" 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 0 0 1 3 0 1 1 0 1 0 0 0 0 0 0 0 2 2 0 1 1 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 2 0 0 0 0 2 0 1 1 2 1 0 0 0 2 1 0 0 1 0 0 1 0 0 0 0 0 0 0 4 0 1 4 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1
"thoughtful" 1 0 1 1 1 1 2 0 0 1 3 2 1 9 4 0 1 3 3 0 0 2 3 1 1 1 0 1 2 4 0 0 1 2 0 1 1 1 0 0 1 0 0 0 1 3 2 1 0 5 1 0 3 0 2 2 0 2 6 3 4 0 0 2 0 0 1 2 0 0 1 1 0 0 1 3 0 3 0 0 0 1 3 1 1 0 0 1 0 0 1 1 5 1 4 1 0 0 1 1 5 0 1 3 1 0 1 3 0 0 1 2 0 0 1 1 0 2 3 1 3 1 1 0 0 0 0 0 2 1 1 0 0 0 0 0 0 6 0 2 9 0 1 0 1 0 0 0 1 1 4 0 0 1 1 1 0 0 0 0 1 1 0 0
"tight" 0 2 1 0 0 1 2 1 0 0 0 1 0 6 0 1 0 2 2 0 0 2 0 0 1 2 1 1 0 0 1 0 1 3 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 7 0 2 0 2 1 1 0 2 1 1 1 0 2 3 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 2 1 2 0 2 2 2 1 3 1 0 1 6 1 5 0 0 0 0 0 2 0 0 2 1 0 2 2 0 0 1 0 0 0 0 2 0 1 3 0 2 0 6 0 2 1 2 1 1 1 0 0 0 1 0 1 3 8 2 2 7 0 3 0 2 2 0 1 0 0 1 0 0 1 0 1 2 0 2 1 1 1 0 0
"timid" 0 1 1 0 0 1 0 0 1 1 1 0 0 2 2 0 0 1 1 1 0 0 1 0 1 1 3 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 1 0 1 0 1 3 0 0 0 3 0 2 0 0 1 0 2 2 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 4 1 0 0 2 0 2 0 1 1 2 0 2 0 0 2 0 0 1 2 1 0 0 0 0 0 0 2 1 1 0 0 0 0 2 2 1 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 5 1 2 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0
"true" 3 1 1 2 0 0 4 4 2 1 2 2 4 20 10 1 0 8 7 2 4 2 5 3 5 7 4 1 3 3 1 1 5 14 0 0 2 6 4 0 0 1 2 2 2 8 6 3 3 12 0 1 12 2 1 2 1 6 6 4 3 6 2 7 10 1 0 2 2 0 2 3 1 2 1 10 1 6 2 1 5 1 2 5 3 3 0 1 8 0 2 5 5 1 12 2 1 4 1 2 11 4 2 7 1 1 8 7 2 1 0 1 0 2 2 5 6 1 4 1 2 4 12 9 7 1 1 2 0 3 1 3 0 1 3 2 1 16 2 5 27 1 7 0 1 0 1 4 1 1 0 2 4 0 2 1 3 1 2 4 2 3 2 3
"ugly" 1 0 0 0 0 0 1 1 2 2 1 1 0 7 4 0 0 2 2 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 2 0 0 1 1 2 0 0 0 1 2 2 0 1 2 0 1 2 0 0 2 0 1 3 2 0 1 0 5 2 0 1 0 0 0 0 1 2 1 0 1 0 4 0 1 0 0 2 0 1 0 0 1 5 0 1 0 4 0 2 0 0 0 0 0 5 0 1 1 0 0 3 6 2 1 0 1 1 1 1 2 0 0 1 0 0 2 3 2 2 0 1 1 0 2 1 0 1 0 0 0 0 1 0 0 6 0 1 0 0 0 0 0 0 1 2 0 2 0 0 1 0 0 0 2 0 1 0 0
"unhappy" 1 1 1 0 1 0 2 1 0 0 1 0 0 2 3 1 0 0 0 0 1 0 0 1 2 2 1 0 0 1 0 0 0 6 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 1 3 0 1 0 0 3 2 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 0 2 0 1 0 0 0 2 0 0 0 2 1 4 0 0 0 1 1 1 1 0 3 1 0 1 5 1 0 0 1 0 1 1 0 1 0 2 0 1 1 2 0 2 0 0 0 0 0 1 0 0 0 1 0 0 4 0 0 6 0 1 0 1 0 0 0 0 0 4 2 0 0 0 0 0 0 0 3 0 0 1 1
"unmindful" 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 0 2 0 0 0 1 1 0 1 2 0 0 0 1 0 2 0 0 1 0 0 0 0 2 0 0 1 0 0 1 0 1 0 0 0 2 0 1 0 1 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 3 1 0 0 0 0 0 3 0 0 1 0 0 0 0 4 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0
