"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"257","defiant",22,0,0,3,3,5,1,4,1,2,0,0,0,3,0,0
"258","definite",16,2,1,3,2,1,2,0,0,1,1,1,0,1,1,0
"259","delibera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260","deliberv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261","demandin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","democrat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263","demonstr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264","demure",4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"265","dependab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266","dependen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267","derisive",8,0,0,0,1,2,0,0,1,1,0,1,0,1,0,1
"268","derogato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","designfu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","desponde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","destruct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272","detached",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273","determin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274","devilish",58,0,2,2,3,17,1,5,2,7,2,5,1,3,4,4
"275","devilmay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","devious",3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"277","devout",4,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
"278","dictator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279","dignifie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280","digressi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281","diligent",8,0,0,3,1,2,0,0,1,0,0,0,0,0,0,1
"282","diplomat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","direct",62,6,3,5,2,6,5,3,9,7,2,3,1,6,2,2
"284","discerni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","discoura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286","discourt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287","discreet",40,2,1,3,3,4,1,2,0,3,1,3,2,12,1,2
