"anne_page::stable—generally";"hugh_evans::stable—generally"
"bacon::thoughtful";"milton::thoughtful"
"bacon::thoughtful";"shakespeare::thoughtful"
"chesterfield::thoughtful";"milton::thoughtful"
"chesterfield::thoughtful";"shakespeare::thoughtful"
"milton::thoughtful";"shakespeare::thoughtful"
"chester::slowly";"hugh::slowly"
"chester::conciliation";"chester::expression"
"chester::conciliation";"chester::reflection"
"chester::conciliation";"chester::rough"
"chester::expression";"chester::reflection"
"chester::expression";"chester::rough"
"chester::reflection";"chester::rough"
"chester::perceptible";"chester::pleasure"
"hugh::boisterously";"hugh::rude"
"chester::cheerful";"chester::deliberation"
"chester::cheerful";"chester::proper"
"chester::deliberation";"chester::proper"
"chester::#-spirited";"chester::proud"
"chester::#-spirited";"hugh::#-spirited"
"chester::#-spirited";"hugh::proud"
"chester::proud";"hugh::#-spirited"
"chester::proud";"hugh::proud"
"hugh::#-spirited";"hugh::proud"
"hugh::confidence";"hugh::thoroughly"
"hugh::kindest";"hugh::rashness"
"chester::certainly'";"chester::dull"
"chester::business";"chester::complicated"
"chester::business";"mr_tappertit::business"
"chester::business";"mr_tappertit::complicated"
"chester::complicated";"mr_tappertit::business"
"chester::complicated";"mr_tappertit::complicated"
"mr_tappertit::business";"mr_tappertit::complicated"
"chester::politeness";"chester::unvarying"
